ID,TEXT
1,scored 	15 points in the full tournament
2,A.C. Greenscored 	367 points in the full tournament
3,A.J. Guytonscored 	198 points in the full tournament
4,Aaron McKiescored 	876 points in the full tournament
5,Aaron Williamsscored 	832 points in the full tournament
6,Adam Keefescored 	166 points in the full tournament
7,Adonal Foylescored 	334 points in the full tournament
8,Adrian Griffinscored 	93 points in the full tournament
9,Al Harringtonscored 	578 points in the full tournament
10,Alan Hendersonscored 	743 points in the full tournament
11,Allan Houstonscored 	1450 points in the full tournament
12,Allen Iversonscored 	2182 points in the full tournament
13,Alonzo Mourningscored 	175 points in the full tournament
14,Alvin Williamsscored 	802 points in the full tournament
15,Andre Millerscored 	1291 points in the full tournament
16,Andrew DeClercqscored 	254 points in the full tournament
17,Anfernee Hardawayscored 	39 points in the full tournament
18,Antawn Jamisonscored 	2022 points in the full tournament
19,Anthony Carterscored 	461 points in the full tournament
20,Anthony Goldwirescored 	82 points in the full tournament
21,Anthony Johnsonscored 	130 points in the full tournament
22,Anthony Masonscored 	1271 points in the full tournament
23,Anthony Millerscored 	2 points in the full tournament
24,Anthony Peelerscored 	791 points in the full tournament
25,Antoine Walkerscored 	1865 points in the full tournament
26,Antonio Danielsscored 	743 points in the full tournament
27,Antonio Davisscored 	1044 points in the full tournament
28,Antonio Harveyscored 	31 points in the full tournament
29,Antonio McDyessscored 	1431 points in the full tournament
30,Arvydas Sabonisscored 	598 points in the full tournament
31,Austin Crosherescored 	820 points in the full tournament
32,Avery Johnsonscored 	308 points in the full tournament
33,Baron Davisscored 	1124 points in the full tournament
34,Ben Wallacescored 	503 points in the full tournament
35,Bill Curleyscored 	63 points in the full tournament
36,Billy Owensscored 	198 points in the full tournament
37,Bimbo Colesscored 	232 points in the full tournament
38,Bo Outlawscored 	580 points in the full tournament
39,Bob Surascored 	573 points in the full tournament
40,Bobby Jacksonscored 	564 points in the full tournament
41,Bonzi Wellsscored 	936 points in the full tournament
42,Brad Millerscored 	503 points in the full tournament
43,Brent Barryscored 	584 points in the full tournament
44,Brent Pricescored 	13 points in the full tournament
45,Brevin Knightscored 	325 points in the full tournament
46,Brian Cardinalscored 	31 points in the full tournament
47,Brian Grantscored 	1218 points in the full tournament
48,Brian Shawscored 	417 points in the full tournament
49,Brian Skinnerscored 	154 points in the full tournament
50,Bruce Bowenscored 	613 points in the full tournament
51,Bruno Sundovscored 	41 points in the full tournament
52,Bryant Reevesscored 	614 points in the full tournament
53,Bryant Stithscored 	750 points in the full tournament
54,Bryce Drewscored 	300 points in the full tournament
55,Bryon Russellscored 	898 points in the full tournament
56,Cal Bowdlerscored 	140 points in the full tournament
57,Calbert Cheaneyscored 	21 points in the full tournament
58,Calvin Boothscored 	283 points in the full tournament
59,Carlos Rogersscored 	179 points in the full tournament
60,Cedric Ceballosscored 	261 points in the full tournament
61,Cedric Hendersonscored 	235 points in the full tournament
62,Charles Oakleyscored 	740 points in the full tournament
63,Charlie Wardscored 	430 points in the full tournament
64,Chauncey Billupsscored 	708 points in the full tournament
65,Cherokee Parksscored 	297 points in the full tournament
66,Chris Carrscored 	169 points in the full tournament
67,Chris Childsscored 	362 points in the full tournament
68,Chris Crawfordscored 	310 points in the full tournament
69,Chris Dudleyscored 	72 points in the full tournament
70,Chris Garnerscored 	19 points in the full tournament
71,Chris Gatlingscored 	837 points in the full tournament
72,Chris Herrenscored 	81 points in the full tournament
73,Chris Mihmscored 	430 points in the full tournament
74,Chris Millsscored 	173 points in the full tournament
75,Chris Mullinscored 	115 points in the full tournament
76,Chris Porterscored 	434 points in the full tournament
77,Chris Webberscored 	1875 points in the full tournament
78,Chris Whitneyscored 	558 points in the full tournament
79,Christian Laettnerscored 	710 points in the full tournament
80,Chucky Atkinsscored 	953 points in the full tournament
81,Chucky Brownscored 	100 points in the full tournament
82,Clar. Weatherspoonscored 	905 points in the full tournament
83,Clifford Robinsonscored 	1308 points in the full tournament
84,Corey Benjaminscored 	307 points in the full tournament
85,Corey Maggettescored 	688 points in the full tournament
86,Corie Blountscored 	313 points in the full tournament
87,Corliss Williamsonscored 	788 points in the full tournament
88,Cory Alexanderscored 	52 points in the full tournament
89,Courtney Alexanderscored 	604 points in the full tournament
90,Cuttino Mobleyscored 	1533 points in the full tournament
91,Dale Davisscored 	566 points in the full tournament
92,Dalibor Bagaricscored 	47 points in the full tournament
93,Damon Jonesscored 	461 points in the full tournament
94,Damon Stoudamirescored 	1060 points in the full tournament
95,Dan Langhiscored 	90 points in the full tournament
96,Dan Majerlescored 	267 points in the full tournament
97,Dan McClintockscored 	18 points in the full tournament
98,Dana Barrosscored 	478 points in the full tournament
99,Daniel Santiagoscored 	170 points in the full tournament
100,Danny Ferryscored 	448 points in the full tournament
101,Danny Fortsonscored 	100 points in the full tournament
102,Danny Manningscored 	583 points in the full tournament
103,Darius Milesscored 	759 points in the full tournament
104,Darrell Armstrongscored 	1181 points in the full tournament
105,Darrick Martinscored 	103 points in the full tournament
106,Darvin Hamscored 	109 points in the full tournament
107,David Benoitscored 	166 points in the full tournament
108,David Robinsonscored 	1116 points in the full tournament
109,David Vanterpoolscored 	117 points in the full tournament
110,David Wesleyscored 	1404 points in the full tournament
111,David Wingatescored 	6 points in the full tournament
112,DeShawn Stevensonscored 	89 points in the full tournament
113,Dean Garrettscored 	173 points in the full tournament
114,Dee Brownscored 	48 points in the full tournament
115,Dell Curryscored 	429 points in the full tournament
116,DerMarr Johnsonscored 	390 points in the full tournament
117,Derek Andersonscored 	1252 points in the full tournament
118,Derek Fisherscored 	207 points in the full tournament
119,Derek Strongscored 	116 points in the full tournament
120,Derrick Colemanscored 	277 points in the full tournament
121,Derrick Dialscored 	86 points in the full tournament
122,Derrick McKeyscored 	145 points in the full tournament
123,Desmond Masonscored 	461 points in the full tournament
124,Detlef Schrempfscored 	104 points in the full tournament
125,Devean Georgescored 	179 points in the full tournament
126,Dikembe Mutomboscored 	737 points in the full tournament
127,Dion Gloverscored 	335 points in the full tournament
128,Dirk Nowitzkiscored 	1768 points in the full tournament
129,Don MacLeanscored 	31 points in the full tournament
130,Don Reidscored 	210 points in the full tournament
131,Donnell Harveyscored 	22 points in the full tournament
132,Donyell Marshallscored 	1059 points in the full tournament
133,Doug Christiescored 	994 points in the full tournament
134,Doug Overtonscored 	125 points in the full tournament
135,Doug Westscored 	28 points in the full tournament
136,Dragan Tarlacscored 	99 points in the full tournament
137,Duane Causwellscored 	73 points in the full tournament
138,Earl Boykinsscored 	65 points in the full tournament
139,Eddie Gillscored 	39 points in the full tournament
140,Eddie Housescored 	251 points in the full tournament
141,Eddie Jonesscored 	1091 points in the full tournament
142,Eddie Robinsonscored 	498 points in the full tournament
143,Eduardo Najerascored 	131 points in the full tournament
144,Elden Campbellscored 	987 points in the full tournament
145,Eldridge Recasnerscored 	103 points in the full tournament
146,Elliot Perryscored 	145 points in the full tournament
147,Elton Brandscored 	1475 points in the full tournament
148,Emanual Davisscored 	351 points in the full tournament
149,Eric Montrossscored 	118 points in the full tournament
150,Eric Piatkowskiscored 	855 points in the full tournament
151,Eric Snowscored 	489 points in the full tournament
152,Eric Williamsscored 	535 points in the full tournament
153,Erick Barkleyscored 	19 points in the full tournament
154,Erick Dampierscored 	310 points in the full tournament
155,Erick Stricklandscored 	260 points in the full tournament
156,Ervin Johnsonscored 	266 points in the full tournament
157,Etdrick Bohannonscored 	8 points in the full tournament
158,Evan Eschmeyerscored 	251 points in the full tournament
159,Felipe Lopezscored 	542 points in the full tournament
160,Felton Spencerscored 	39 points in the full tournament
161,Fred Hoibergscored 	670 points in the full tournament
162,Garth Josephscored 	2 points in the full tournament
163,Gary Grantscored 	10 points in the full tournament
164,Gary Paytonscored 	1803 points in the full tournament
165,Gary Trentscored 	133 points in the full tournament
166,George Lynchscored 	669 points in the full tournament
167,George McCloudscored 	727 points in the full tournament
168,Gerard Kingscored 	216 points in the full tournament
169,Glen Ricescored 	898 points in the full tournament
170,Glenn Robinsonscored 	1653 points in the full tournament
171,Grant Hillscored 	55 points in the full tournament
172,Grant Longscored 	396 points in the full tournament
173,Greg Anthonyscored 	284 points in the full tournament
174,Greg Bucknerscored 	229 points in the full tournament
175,Greg Fosterscored 	119 points in the full tournament
176,Greg Ostertagscored 	350 points in the full tournament
177,Hakeem Olajuwonscored 	679 points in the full tournament
178,Hanno Mottolascored 	310 points in the full tournament
179,Hedo Turkogluscored 	391 points in the full tournament
180,Hersey Hawkinsscored 	183 points in the full tournament
181,Horace Grantscored 	627 points in the full tournament
182,Howard Eisleyscored 	741 points in the full tournament
183,Hubert Davisscored 	518 points in the full tournament
184,Ike Austinscored 	226 points in the full tournament
185,Ira Newblescored 	51 points in the full tournament
186,Isaiah Riderscored 	507 points in the full tournament
187,J.R. Reidscored 	10 points in the full tournament
188,Jabari Smithscored 	26 points in the full tournament
189,Jacque Vaughnscored 	476 points in the full tournament
190,Jahidi Whitescored 	560 points in the full tournament
191,Jake Tsakalidisscored 	256 points in the full tournament
192,Jake Voskuhlscored 	28 points in the full tournament
193,Jalen Rosescored 	1469 points in the full tournament
194,Jamaal Magloirescored 	339 points in the full tournament
195,Jamal Crawfordscored 	282 points in the full tournament
196,Jamal Mashburnscored 	1513 points in the full tournament
197,Jamal Robinsonscored 	6 points in the full tournament
198,Jamel Thomasscored 	13 points in the full tournament
199,James Poseyscored 	658 points in the full tournament
200,James Robinsonscored 	10 points in the full tournament
201,Jamie Feickscored 	22 points in the full tournament
202,Jaren Jacksonscored 	39 points in the full tournament
203,Jason Caffeyscored 	494 points in the full tournament
204,Jason Collierscored 	71 points in the full tournament
205,Jason Hartscored 	2 points in the full tournament
206,Jason Kiddscored 	1291 points in the full tournament
207,Jason Terryscored 	1585 points in the full tournament
