PLAYER_NAME,GAME_ID,TEAM_NAME_FROM_DATA,TEAM_POINTS,TOTAl_PLAYER_POINTS,WINNING_TEAM,WINNING_POINTS,LOSING_TEAM,LOSING_POINTS,PLAYER_CONTRIBUTION,AVG_PLAYER_CONTRIBUTION
Reggie Miller,20000090,Pacers,92,24,Pacers,92,Pistons,84,0.2608695652173913,0.204729518470575
Reggie Miller,20000960,Pacers,98,24,Pacers,98,Kings,95,0.24489795918367346,0.204729518470575
Reggie Miller,20000080,Pacers,86,23,Pacers,86,Wizards,73,0.26744186046511625,0.204729518470575
Reggie Miller,20001092,Pacers,98,26,Pacers,98,Bulls,93,0.2653061224489796,0.204729518470575
Reggie Miller,20000665,Pacers,101,27,Pacers,101,Nuggets,94,0.26732673267326734,0.204729518470575
Reggie Miller,20000175,Pacers,97,17,Pacers,97,Wizards,87,0.17525773195876287,0.204729518470575
Reggie Miller,20000578,Pacers,87,16,Pacers,87,Knicks,72,0.1839080459770115,0.204729518470575
Reggie Miller,20001038,Pacers,92,4,Pacers,92,Celtics,85,0.043478260869565216,0.204729518470575
Reggie Miller,20000804,Pacers,107,26,Pacers,107,Timberwolves,100,0.24299065420560748,0.204729518470575
Reggie Miller,20000450,Pacers,89,16,Pacers,89,SuperSonics,83,0.1797752808988764,0.204729518470575
Reggie Miller,20000396,Pacers,101,22,Pacers,101,Magic,93,0.21782178217821782,0.204729518470575
Reggie Miller,20000490,Pacers,84,11,Pacers,84,Clippers,82,0.13095238095238096,0.204729518470575
Reggie Miller,20000559,Pacers,84,15,Pacers,84,Hawks,74,0.17857142857142858,0.204729518470575
Reggie Miller,20000540,Pacers,87,11,Pacers,87,Clippers,74,0.12643678160919541,0.204729518470575
Reggie Miller,20000730,Pacers,82,19,Pacers,82,Pistons,70,0.23170731707317074,0.204729518470575
Reggie Miller,20000525,Pacers,84,12,Pacers,84,Heat,71,0.14285714285714285,0.204729518470575
Reggie Miller,20000254,Pacers,88,16,Pacers,88,Nets,62,0.18181818181818182,0.204729518470575
Reggie Miller,20000355,Pacers,89,22,Pacers,89,Bulls,85,0.24719101123595505,0.204729518470575
Reggie Miller,20001184,Pacers,103,22,Pacers,103,Cavaliers,101,0.21359223300970873,0.204729518470575
Reggie Miller,20001142,Pacers,111,27,Pacers,111,Celtics,108,0.24324324324324326,0.204729518470575
Reggie Miller,20000286,Pacers,99,18,Pacers,99,Hornets,94,0.18181818181818182,0.204729518470575
Reggie Miller,20000825,Pacers,97,24,Pacers,97,Bucks,86,0.24742268041237114,0.204729518470575
Reggie Miller,20000114,Pacers,90,30,Pacers,90,Pistons,88,0.3333333333333333,0.204729518470575
Reggie Miller,20000786,Pacers,90,25,Pacers,90,Cavaliers,90,0.2777777777777778,0.204729518470575
Reggie Miller,20001129,Pacers,100,24,Pacers,100,Knicks,91,0.24,0.204729518470575
Reggie Miller,20000275,Pacers,102,10,Pacers,102,Celtics,91,0.09803921568627451,0.204729518470575
Reggie Miller,20001067,Pacers,83,16,Pacers,83,Suns,81,0.1927710843373494,0.204729518470575
Reggie Miller,20001018,Pacers,108,27,Pacers,108,Wizards,102,0.25,0.204729518470575
Reggie Miller,20001159,Pacers,93,15,Pacers,93,Bulls,84,0.16129032258064516,0.204729518470575
Reggie Miller,20000893,Pacers,99,18,Pacers,99,Cavaliers,82,0.18181818181818182,0.204729518470575
Reggie Miller,20000039,Pacers,94,20,Pacers,94,Bulls,79,0.2127659574468085,0.204729518470575
Reggie Miller,20000471,Pacers,93,18,Pacers,93,Kings,89,0.1935483870967742,0.204729518470575
Reggie Miller,20001104,Pacers,106,12,Pacers,106,Nets,83,0.11320754716981132,0.204729518470575
Reggie Miller,20000316,Pacers,97,22,Pacers,97,Mavericks,90,0.2268041237113402,0.204729518470575
Reggie Miller,20000945,Pacers,103,13,Pacers,103,Hawks,95,0.1262135922330097,0.204729518470575
Reggie Miller,20000753,Pacers,110,33,Pacers,110,Lakers,108,0.3,0.204729518470575
Reggie Miller,20001005,Pacers,82,11,Pacers,82,Magic,81,0.13414634146341464,0.204729518470575
Reggie Miller,20000066,Pacers,108,41,Pacers,108,Bucks,95,0.37962962962962965,0.204729518470575
Reggie Miller,20001114,Pacers,100,12,Pacers,100,Wizards,76,0.12,0.204729518470575
Reggie Miller,20000232,Pacers,84,20,Pacers,84,Grizzlies,76,0.23809523809523808,0.204729518470575
Reggie Miller,20000993,Pacers,93,13,Pacers,93,Grizzlies,75,0.13978494623655913,0.204729518470575
Terry Mills,20000471,Pacers,93,5,Pacers,93,Kings,89,0.053763440860215055,0.038786482334869435
Terry Mills,20000559,Pacers,84,2,Pacers,84,Hawks,74,0.023809523809523808,0.038786482334869435
Andre Miller,20000061,Cavaliers,99,16,Cavaliers,99,Knicks,96,0.16161616161616163,0.16603633674796983
Andre Miller,20000339,Cavaliers,97,22,Cavaliers,97,Jazz,92,0.2268041237113402,0.16603633674796983
Andre Miller,20000155,Cavaliers,115,13,Cavaliers,115,Pistons,98,0.11304347826086956,0.16603633674796983
Andre Miller,20001117,Cavaliers,101,10,Cavaliers,101,Magic,76,0.09900990099009901,0.16603633674796983
Andre Miller,20000330,Cavaliers,103,17,Cavaliers,103,Pacers,93,0.1650485436893204,0.16603633674796983
Andre Miller,20000105,Cavaliers,95,19,Cavaliers,95,Warriors,86,0.2,0.16603633674796983
Andre Miller,20000986,Cavaliers,107,15,Cavaliers,107,Grizzlies,95,0.14018691588785046,0.16603633674796983
Andre Miller,20001139,Cavaliers,97,26,Cavaliers,97,Nets,89,0.26804123711340205,0.16603633674796983
Andre Miller,20000265,Cavaliers,91,20,Cavaliers,91,Bulls,88,0.21978021978021978,0.16603633674796983
Andre Miller,20000803,Cavaliers,99,8,Cavaliers,99,Pistons,94,0.08080808080808081,0.16603633674796983
