PLAYER_NAME,WINNING_TEAM,LOSING_TEAM,prediction
Bobby Jackson,Kings,Jazz,4.95543509579041
Chris Webber,Kings,Jazz,6.764390793950081
Hedo Turkoglu,Kings,Jazz,2.242001548550902
Peja Stojakovic,Kings,Jazz,7.668868643029917
Peja Stojakovic,Kings,Jazz,4.95543509579041
Scot Pollard,Kings,Jazz,4.050957246710574
Antonio Daniels,Spurs,Lakers,4.031181535626301
Antonio Daniels,Spurs,Trail Blazers,4.045314816139095
Danny Ferry,Spurs,Trail Blazers,2.2363591179794233
Derek Anderson,Spurs,Lakers,2.2222258374666293
Samaki Walker,Spurs,Trail Blazers,2.2363591179794233
Samaki Walker,Spurs,Lakers,4.935659384706137
Tim Duncan,Spurs,Trail Blazers,3.140836967059259
Tim Duncan,Spurs,Lakers,4.935659384706137
Clifford Robinson,Suns,Bucks,5.871392323645879
Clifford Robinson,Suns,Bucks,4.062436625486208
Jason Kidd,Suns,Bucks,9.489303719965225
Mario Elie,Suns,Bucks,4.062436625486208
Rodney Rogers,Suns,Bucks,4.062436625486208
Shawn Marion,Suns,Bucks,2.2534809273265357
Vinny Del Negro,Suns,Bucks,2.2534809273265357
Darvin Ham,Bucks,Magic,6.796120620371627
Jason Caffey,Bucks,Magic,3.178209224052284
Sam Cassell,Bucks,Magic,3.178209224052284
Tim Thomas,Bucks,Magic,11.318509865770809
Chris Webber,Kings,Suns,5.8657498930744
Hedo Turkoglu,Kings,Suns,5.8657498930744
Jason Williams,Kings,Suns,5.8657498930744
Peja Stojakovic,Kings,Suns,5.8657498930744
Peja Stojakovic,Kings,Suns,2.247838496755057
Scot Pollard,Kings,Suns,6.770227742154236
Brian Shaw,Lakers,Raptors,2.225354475765429
Brian Shaw,Lakers,Warriors,4.037438812223901
Brian Shaw,Lakers,Raptors,4.938788023004937
Horace Grant,Lakers,Warriors,2.2284831140642294
Horace Grant,Lakers,Warriors,9.464305906702918
Horace Grant,Lakers,Raptors,4.0343101739251015
Kobe Bryant,Lakers,Raptors,2.225354475765429
Kobe Bryant,Lakers,Raptors,9.461177268404118
Rick Fox,Lakers,Warriors,5.846394510383573
Shaquille O'Neal,Lakers,Raptors,8.556699419324282
Tyronn Lue,Lakers,Raptors,4.938788023004937
Dan McClintock,Nuggets,Warriors,2.254235882817139
James Posey,Nuggets,Warriors,2.254235882817139
Kevin Willis,Nuggets,Warriors,8.585580826375992
Kevin Willis,Nuggets,Warriors,2.254235882817139
Robert Pack,Nuggets,Warriors,4.06319158097681
Robert Pack,Nuggets,Warriors,4.06319158097681
Antonio Davis,Raptors,Celtics,6.783551659008233
Charles Oakley,Raptors,Celtics,5.879073809928397
Vince Carter,Raptors,Celtics,4.9745959608485615
Bonzi Wells,Trail Blazers,Jazz,5.829941955230776
Adonal Foyle,Warriors,Suns,2.227588049109144
Chris Mills,Warriors,Suns,6.749977294508324
Allen Iverson,76ers,Hornets,8.55052784402297
Allen Iverson,76ers,Hornets,2.219182900464117
Theo Ratliff,76ers,Hornets,2.219182900464117
Toni Kukoc,76ers,Hornets,1.3147050513842813
Toni Kukoc,76ers,Hornets,4.028138598623789
Tyrone Hill,76ers,Hornets,2.219182900464117
David Wesley,Hornets,Mavericks,6.739447388855969
Derrick Coleman,Hornets,Mavericks,4.9304916906962974
Elden Campbell,Hornets,Mavericks,2.2170581434567898
Elden Campbell,Hornets,Mavericks,4.9304916906962974
Bryon Russell,Jazz,SuperSonics,4.0135849897175495
Danny Manning,Jazz,SuperSonics,2.2046292915578776
John Starks,Jazz,SuperSonics,4.918062838797385
Jason Williams,Kings,Cavaliers,2.259457984995172
Peja Stojakovic,Kings,Cavaliers,6.7818472303943516
Vlade Divac,Kings,Cavaliers,2.259457984995172
Damon Jones,Grizzlies,Timberwolves,2.242196066183578
Damon Jones,Grizzlies,Timberwolves,4.955629613423086
Damon Jones,Grizzlies,Timberwolves,3.146673915263414
Kevin Edwards,Grizzlies,Timberwolves,2.242196066183578
Kevin Edwards,Grizzlies,Timberwolves,5.8601074625029215
Shareef Abdur-Rahim,Grizzlies,Timberwolves,7.669063160662593
Shareef Abdur-Rahim,Grizzlies,Timberwolves,4.955629613423086
David Wesley,Hornets,Hawks,2.2458851423403052
David Wesley,Hornets,Hawks,2.2458851423403052
Eddie Robinson,Hornets,Hawks,2.2458851423403052
Elden Campbell,Hornets,Hawks,5.863796538659649
Eldridge Recasner,Hornets,Hawks,2.2458851423403052
Hersey Hawkins,Hornets,Hawks,2.2458851423403052
Jamaal Magloire,Hornets,Hawks,1.3414072932604695
Otis Thorpe,Hornets,Hawks,4.054840840499978
Chris Webber,Kings,Warriors,4.05090283854238
Jason Williams,Kings,Warriors,5.859858536702052
Nick Anderson,Kings,Warriors,3.1464249894625445
Aaron Williams,Nets,Pacers,4.089559195755841
Evan Eschmeyer,Nets,Pacers,2.2806034975961693
Johnny Newman,Nets,Pacers,5.898514893915513
Keith Van Horn,Nets,Pacers,7.707470592075184
Stephon Marbury,Nets,Pacers,5.898514893915513
Stephon Marbury,Nets,Pacers,6.8029927429953485
Stephon Marbury,Nets,Pacers,3.1850813466760055
James Posey,Nuggets,Hornets,4.9588983611863675
Robert Pack,Nuggets,Hornets,3.149942663026696
David Robinson,Spurs,Warriors,2.2446554502880627
Samaki Walker,Spurs,Warriors,5.862566846607407
Tim Duncan,Spurs,Warriors,10.384956092006586
Chauncey Billups,Timberwolves,Warriors,3.1825131462351326
Kevin Garnett,Timberwolves,Warriors,4.086990995314968
Kevin Garnett,Timberwolves,Warriors,8.609380240714149
Rasho Nesterovic,Timberwolves,Warriors,2.278035297155297
Todd Day,Timberwolves,Warriors,3.1825131462351326
Wally Szczerbiak,Timberwolves,Warriors,2.278035297155297
Juwan Howard,Wizards,Hornets,5.850667139438327
Michael Smith,Wizards,Hornets,3.13723359219882
Michael Smith,Wizards,Hornets,2.2327557431189837
Richard Hamilton,Wizards,Hornets,4.041711441278656
Antonio McDyess,Nuggets,Kings,6.769893115057078
James Posey,Nuggets,Kings,4.960937416897407
