PLAYER_NAME,WINNING_TEAM,LOSING_TEAM,prediction
Reggie Miller,Pacers,Bulls,19.19332919392432
Reggie Miller,Pacers,Bucks,20.61239680391857
Reggie Miller,Pacers,Pistons,19.317738131960397
Reggie Miller,Pacers,SuperSonics,19.065785272256285
Reggie Miller,Pacers,Clippers,18.600921634808493
Reggie Miller,Pacers,Lakers,21.233428769208096
Andre Miller,Cavaliers,Nets,15.060543891648168
Andre Miller,Cavaliers,Bulls,15.67065181870552
Andre Miller,Cavaliers,Bulls,15.156328423510553
Andre Miller,Cavaliers,Magic,15.790913048218775
Eric Williams,Celtics,Raptors,7.497642124131909
Eric Williams,Celtics,Cavaliers,6.379987131588942
Eric Williams,Celtics,Timberwolves,8.721499324324002
Eric Williams,Celtics,Clippers,6.369569455802203
Eric Williams,Celtics,Pacers,8.281618746972507
Eric Williams,Celtics,Cavaliers,7.713687885507548
Eric Williams,Celtics,Grizzlies,8.09369102932513
Eric Williams,Celtics,Trail Blazers,6.617880969428924
Eric Williams,Celtics,Nuggets,6.844850769036736
Lee Nailon,Hornets,Raptors,5.739103887490968
Lee Nailon,Hornets,Wizards,6.094123971212246
Lee Nailon,Hornets,Cavaliers,7.5949170912047546
Lee Nailon,Hornets,Clippers,4.561571461414092
Lee Nailon,Hornets,Warriors,5.370531144350993
Michael Smith,Wizards,Pistons,5.440647328129218
Michael Smith,Wizards,Hornets,4.660312051366011
Michael Smith,Wizards,Pistons,5.07885091469859
Shandon Anderson,Rockets,Grizzlies,8.370646915366374
Shandon Anderson,Rockets,Heat,8.753785042815911
Shandon Anderson,Rockets,Grizzlies,8.083293319779218
Shandon Anderson,Rockets,Mavericks,10.800660947809034
Shandon Anderson,Rockets,Hornets,10.495606984280359
Shandon Anderson,Rockets,Knicks,9.498719583696081
Shandon Anderson,Rockets,Celtics,9.512778605560209
Shandon Anderson,Rockets,Timberwolves,8.757426388893302
Dalibor Bagaric,Bulls,Hornets,2.19623517749495
Mike Penberthy,Lakers,Clippers,5.395586607747896
Mike Penberthy,Lakers,Suns,6.143656132260023
Mike Penberthy,Lakers,Jazz,3.997860711772555
Mike Penberthy,Lakers,Mavericks,7.58093047264123
Mike Penberthy,Lakers,Hawks,7.087948791465173
Mike Penberthy,Lakers,Bulls,5.64753946745201
Mike Penberthy,Lakers,Celtics,5.959876123135466
Mike Penberthy,Lakers,Timberwolves,7.272235163035161
George Lynch,76ers,Cavaliers,10.099505761547606
George Lynch,76ers,Heat,8.40350223175294
George Lynch,76ers,Trail Blazers,9.886594983803926
George Lynch,76ers,Grizzlies,7.974545692633621
George Lynch,76ers,Hawks,8.829323787240304
George Lynch,76ers,Rockets,8.283241002239686
George Lynch,76ers,Lakers,10.28743347919499
George Lynch,76ers,Pistons,8.80798207322139
George Lynch,76ers,Heat,7.321754337538449
George Lynch,76ers,Wizards,10.198931639487386
Anthony Mason,Heat,76ers,16.14691363564735
Anthony Mason,Heat,Jazz,16.239056821432342
Anthony Mason,Heat,Hornets,16.622194948881884
Anthony Mason,Heat,Clippers,16.983991362312516
Anthony Mason,Heat,Warriors,16.81012266652926
Anthony Mason,Heat,Cavaliers,17.767967985153113
Anthony Mason,Heat,Wizards,17.29268667191858
Anthony Mason,Heat,Pistons,18.403058972306766
Anthony Mason,Heat,Grizzlies,17.040733812214462
Anthony Mason,Heat,Raptors,17.320804715646837
Anthony Mason,Heat,Kings,18.708112935835437
Anthony Mason,Heat,Bulls,17.526432801235735
Anthony Mason,Heat,Hornets,15.742433794178902
Anthony Mason,Heat,Knicks,15.777834530061943
Anthony Peeler,Timberwolves,76ers,10.90377381810371
Anthony Peeler,Timberwolves,Pistons,12.123989672218416
Anthony Peeler,Timberwolves,Suns,12.499845107513172
Anthony Peeler,Timberwolves,Trail Blazers,11.371772439183465
Anthony Peeler,Timberwolves,Warriors,13.095387650260959
Anthony Peeler,Timberwolves,Nuggets,10.758023166048725
Anthony Peeler,Timberwolves,SuperSonics,14.05738067740763
Mikki Moore,Pistons,Nets,6.215261986108869
Mikki Moore,Pistons,Suns,4.746734618367444
Mikki Moore,Pistons,Bucks,6.602041459635798
Mikki Moore,Pistons,Magic,4.973704417975254
Mikki Moore,Pistons,Bulls,5.473462428860659
Mikki Moore,Pistons,Magic,5.878448632774543
Mikki Moore,Pistons,Hawks,3.781606607588815
Mikki Moore,Pistons,Raptors,5.427644017190877
Stacey Augmon,Trail Blazers,Rockets,6.218346502994589
Stacey Augmon,Trail Blazers,Magic,6.246970909168281
Stacey Augmon,Trail Blazers,Bulls,6.289654337206104
Tracy McGrady,Magic,Wizards,26.743469651881526
Tracy McGrady,Magic,Jazz,26.232787602763956
Tracy McGrady,Magic,Cavaliers,27.77211644227146
Tracy McGrady,Magic,Pistons,27.453003456878655
Tracy McGrady,Magic,Hawks,26.644043773941753
Tracy McGrady,Magic,Cavaliers,28.43532547315337
Tracy McGrady,Magic,Timberwolves,27.506104560703214
Tracy McGrady,Magic,76ers,26.654461449728494
Darvin Ham,Bucks,Raptors,5.40320179075996
Mark Blount,Celtics,Wizards,5.158897091263878
Mark Blount,Celtics,Nets,6.776816457137681
Ben Wallace,Pistons,Raptors,7.116589064101154
Ben Wallace,Pistons,SuperSonics,6.829235468513998
Ben Wallace,Pistons,Hornets,6.463797709005979
Ben Wallace,Pistons,Grizzlies,7.950025444688924
Ben Wallace,Pistons,Knicks,5.931773945869493
Ben Wallace,Pistons,Hawks,9.724113138404457
Shawn Bradley,Mavericks,Pistons,8.0709770171367
Shawn Bradley,Mavericks,Celtics,8.745110086250788
Shawn Bradley,Mavericks,Timberwolves,7.98925150713845
Shawn Bradley,Mavericks,Hornets,8.688367636348834
Shawn Bradley,Mavericks,Jazz,7.978833831351709
Shawn Bradley,Mavericks,SuperSonics,8.876295353996214
Shawn Bradley,Mavericks,Warriors,9.124606867622935
Cuttino Mobley,Rockets,Bucks,20.06889534899377
Cuttino Mobley,Rockets,Hornets,17.802332336547614
Cuttino Mobley,Rockets,Suns,18.721135573211036
Cuttino Mobley,Rockets,Heat,18.199529485861284
Cuttino Mobley,Rockets,SuperSonics,20.345831268794186
Cuttino Mobley,Rockets,Grizzlies,17.529037762824593
Cuttino Mobley,Rockets,Pistons,19.270859704289037
Cuttino Mobley,Rockets,Timberwolves,18.203170831938678
Cuttino Mobley,Rockets,Jazz,19.49054681174207
Cuttino Mobley,Rockets,Trail Blazers,20.11886146918637
Reggie Slater,Timberwolves,Rockets,6.136450635169899
Reggie Slater,Timberwolves,Bucks,5.74289483193362
Reggie Slater,Timberwolves,Cavaliers,4.681982289292607
Reggie Slater,Timberwolves,Heat,4.752783761058689
Reggie Slater,Timberwolves,Trail Blazers,5.73925348585623
Derrick Dial,Spurs,Jazz,4.697507526979612
Derrick Dial,Spurs,Clippers,3.6969787803179415
Derrick Dial,Spurs,Raptors,3.796404658257716
Derrick Dial,Spurs,Suns,3.6969787803179415
Mark Jackson,Raptors,Bucks,9.682245571475486
Mark Jackson,Raptors,Pacers,8.851944174519675
Mark Jackson,Raptors,Celtics,7.525019750310415
Mark Jackson,Raptors,Nuggets,8.646316088930773
Mark Jackson,Knicks,SuperSonics,8.724400252851636
Mark Jackson,Knicks,Magic,7.936782283933647
Othella Harrington,Grizzlies,SuperSonics,9.87291206692897
Othella Harrington,Grizzlies,Pistons,9.542875043303995
Othella Harrington,Grizzlies,SuperSonics,10.085822844672654
Othella Harrington,Grizzlies,Clippers,9.837511331045933
Othella Harrington,Grizzlies,Warriors,10.852099099571733
Othella Harrington,Grizzlies,Lakers,11.905728950057965
Othella Harrington,Knicks,Nets,9.26593912350358
Othella Harrington,Knicks,Heat,9.280504507813143
George McCloud,Nuggets,Lakers,8.76123721342949
George McCloud,Nuggets,Spurs,9.846626453721376
